campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:15.183688+00:00,82410,82004,1001,1,81,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:16.191618+00:00,83411,83004,1001,1,82,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:17.183666+00:00,84412,84004,1001,1,83,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:18.175663+00:00,85412,85004,1000,1,84,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:19.183612+00:00,86413,86004,1001,1,85,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:20.175631+00:00,87414,87004,1001,1,86,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:21.183638+00:00,88415,88004,1001,1,87,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:22.175566+00:00,89415,89004,1000,1,88,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:23.183486+00:00,90416,90004,1001,1,89,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:24.175543+00:00,91417,91004,1001,1,90,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:25.167615+00:00,92418,92004,1001,1,91,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:26.175518+00:00,93419,93004,1001,1,92,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:27.167522+00:00,94419,94004,1000,1,93,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:28.175461+00:00,95420,95004,1001,1,94,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:29.167439+00:00,96420,96004,1000,1,95,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:30.175407+00:00,97421,97004,1001,1,96,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:31.167431+00:00,98422,98004,1001,1,97,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:32.175378+00:00,99422,99004,1000,1,98,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:33.167380+00:00,100423,100004,1001,1,99,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:34.159394+00:00,101423,101004,1000,1,100,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:35.167339+00:00,102424,102004,1001,1,101,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:36.159322+00:00,103424,103004,1000,1,102,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:37.167316+00:00,104425,104004,1001,1,103,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:13:38.159289+00:00,105425,105004,1000,1,104,0,1,7,-45,10.5,5147,14,3.0,7,lora,1,1,0
